date;cases;deaths
2020-03-01;1;0
2020-03-02;1;0
2020-03-03;2;0
2020-03-04;11;0
2020-03-05;22;0
2020-03-06;44;0
2020-03-07;89;0
2020-03-08;106;0
2020-03-09;142;0
2020-03-10;173;0
2020-03-11;217;0
2020-03-12;326;0
2020-03-13;421;0
2020-03-14;610;2
2020-03-15;732;6
2020-03-16;950;10
2020-03-17;1375;18
2020-03-18;2387;32
2020-03-19;4161;39
2020-03-20;7113;68
2020-03-21;10371;95
2020-03-22;15188;142
2020-03-23;20899;183
2020-03-24;25704;264
2020-03-25;33117;381
2020-03-26;39058;502
2020-03-27;44746;645
2020-03-28;53517;935
2020-03-29;59783;1180
2020-03-30;67504;1512
2020-03-31;76211;1929
2020-04-01;84364;2415
2020-04-02;93360;2963
2020-04-03;103689;3716
2020-04-04;115963;4535
2020-04-05;124085;5335
2020-04-06;133389;6149
2020-04-07;141703;7185
2020-04-08;151271;8138
2020-04-09;162036;9166
2020-04-10;172830;10162
2020-04-11;182990;11159
2020-04-12;191425;12116
2020-04-13;197973;12998
2020-04-14;205375;14001
2020-04-15;217130;14937
2020-04-16;225761;15669
2020-04-17;233293;16473
2020-04-18;240542;17141
2020-04-19;246741;17793
2020-04-20;251608;18412
2020-04-21;255932;19040
2020-04-22;261591;19647
2020-04-23;267932;20212
2020-04-24;276218;20759
2020-04-25;286901;21326
2020-04-26;292914;21804
2020-04-27;296991;22267
2020-04-28;300276;22777
2020-04-29;304994;23287
2020-04-30;309696;23616
2020-05-01;313575;23841
2020-05-02;318134;24035
2020-05-03;321833;24576
2020-05-04;324357;24788
2020-05-05;326659;25028
2020-05-06;329405;25956
2020-05-07;332931;26206
2020-05-08;335804;26358
2020-05-09;338519;26584
2020-05-10;340657;26798
2020-05-11;342267;27003
2020-05-12;343705;27282
2020-05-13;345828;27448
2020-05-14;348192;27617
2020-05-15;350951;27755
2020-05-16;353136;27953
2020-05-17;355037;28168
2020-05-18;356278;28302
2020-05-19;357757;28437
2020-05-20;359235;28540
2020-05-21;361313;28663
2020-05-22;362991;28802
2020-05-23;364745;28900
2020-05-24;366346;29046
2020-05-25;367625;29138
2020-05-26;368669;29241
2020-05-27;369801;29339
2020-05-28;371559;29438
2020-05-29;373108;29535
2020-05-30;374471;29612
2020-05-31;375575;29699
2020-06-01;376520;29766
2020-06-02;377881;29847
2020-06-03;378924;29918
2020-06-04;379977;30011
2020-06-05;381019;30066
2020-06-06;382102;30123
2020-06-07;382879;30183
2020-06-08;383591;30239
2020-06-09;384281;30309
2020-06-10;384945;30376
2020-06-11;385669;30431
2020-06-12;386490;30511
2020-06-13;387402;30565
2020-06-14;388096;30605
2020-06-15;388719;30645
2020-06-16;389349;30683
2020-06-17;389910;30722
2020-06-18;390536;30767
2020-06-19;391330;30816
2020-06-20;392037;30839
2020-06-21;392702;30884
2020-06-22;393257;30934
2020-06-23;393855;30970
2020-06-24;394430;31001
2020-06-25;395168;31029
2020-06-26;395972;31075
2020-06-27;396669;31105
2020-06-28;397293;31137
2020-06-29;397684;31143
2020-06-30;398142;31776
2020-07-01;398770;31791
2020-07-02;399642;31814
2020-07-03;400561;31836
2020-07-04;401286;31860
2020-07-05;401822;31895
2020-07-06;402338;31911
2020-07-07;402928;31934
2020-07-08;403619;31945
2020-07-09;404207;31979
2020-07-10;404997;32004
2020-07-11;405724;32019
2020-07-12;406403;32029
2020-07-13;406962;32075
2020-07-14;407875;32092
2020-07-15;408709;32115
2020-07-16;409476;32133
2020-07-17;410254;32147
2020-07-18;411006;32167
2020-07-19;411515;32187
2020-07-20;412034;32203
2020-07-21;412889;32218
2020-07-22;413595;32228
2020-07-23;414405;32270
2020-07-24;415163;32278
2020-07-25;415911;32295
2020-07-26;416443;32305
2020-07-27;417056;32322
2020-07-28;417591;32333
2020-07-29;418302;32342
2020-07-30;419081;32362
2020-07-31;419723;32372
2020-08-01;420477;32390
2020-08-02;421008;32401
2020-08-03;421550;32413
2020-08-04;422296;32422
2020-08-05;422935;32431
2020-08-06;423629;32329
2020-08-07;424349;32336
2020-08-08;425055;32345
2020-08-09;425568;32354
2020-08-10;426046;32361
2020-08-11;426713;32372
